Båtsvikjo flytebrygge;6633008;299537;32
Hovden friluftsområde;6687524;30150;33
Eidfjord Småbåthavn - flytebrygger;6729511;63964;33
Ransholmen helsesportanlegg;6672028;301322;32
Haukanes båtlag;6699528;-40071;33
Kolbeinsvik fiske -og småbåtforening flytebrygge;6697548;-44781;33
Storebø båtlag flytebrygge;6701544;-42195;33
Ran seglsportsenter - Flytebrygge;6736292;-43245;33
Askøy seilforening flytebrygge;6742653;-42822;33
Furuholmen, flytebrygge 1;6834950;290920;32
Furuholmen flytebrygge 2;6834960;290840;32
Solund ungdomshus - flytebrygge;6777905;275480;32
Haugland helsesportanlegg-flytebrygge;6838304;-15893;33
Lubbenes - friluftsområde;6980650;103271;33
Aalesunds roklubb, flytebrygge;6957185;48670;33
Bryggeanlegg Stafsethneset;6952270;53729;33
Kristiansund roklubb;7019558;133840;33
Kr.sund Seilf. flytebrygge;7019559;133880;33
Flytebrygge Borgarøya ;6916190;333199;33
Ikornnes flytebrygge;6945665;64383;33
Skodje dampskipskai;6957404;73051;33
Storholmen flytebrygge;6955203;45763;33
Lerheimkaia;6954727;46273;33
Eresfjord flytebrygge;6968982;149278;33
Fårøya friluftsområde - flytebrygge;7014875;123910;33
Sunndalsøra småbåthavn;6965582;168924;33
Flytebrygge;6998909;464359;33
Nelvika flytebrygge;7043088;157537;33
Kanalen Brygge F - flytebrygge for seilbåter;7042153;270123;33
Skansen havn - flytebrygge for seilbåter;7042061;269405;33
Skansen havn - flytebrygge for seilbåter;7042061;269405;33
Nydammen badeplass - Badeplattform m/flytebrygge og stupetårn;7032284;576895;33
Nydammen badeplass - flytebrygge;7032275;576926;33
Eaholmen Nærmiljøanlegg - Flytebrygge;7053076;498954;32
Storvatnet flytebrygge;7009138;263105;33
Grønneset fril.omr.-båtbrygge;7018818;255670;33
Essand flytebrygge;7000891;350797;33
Lauvøyfjorden flytebrygge;7162570;321260;33
Bangsund småbåthavn;7146628;325796;33
Spillum flytebrygge, tilrettelagt for handikappede;7152549;333111;33
