Unike anleggstyper:
Badeplass
Båthavn/Brygge
Ulike småanlegg
Kajakkanlegg
Båthus
Roanlegg
Vannsportsanlegg
Vannskianlegg
Flytebrygge
Seilanlegg
Tidtaker/sekretariat m.m.
Moelv vannski anlegg;6760677;267231;33
Moelv vannski anlegg;6760677;267231;33
Moelv vannski anlegg;6760677;267231;33
Dølisjøen vannskianlegg;6687351;321886;33
Dølisjøen vannskianlegg;6687351;321886;33
Dølisjøen vannskianlegg;6687351;321886;33
Sør-Odal idretts- aktivitetspark: Vannskianlegg - Sjø 1;6685382;317499;33
Sør-Odal Idretts- og aktivitetspark: Vannsportanlegg - Sjø 2;6685382;317499;33
Sør-Odal Idretts- og aktivitetspark: Dommertårn;6683779;649085;32
Båthus;6685620;649337;32
Noggarn helsesenter;6711011;324025;33
Lillehammer roanlegg;0;0;32
Lillehammer vannsportsenter, klubbhus;6774379;578959;32
Lillehammer vannskianlegg;6774379;578959;32
Gjøvik Kajakklubbs båthus;6546272;253181;33
Åstraelva (rafting);6878800;150743;33
Sjoa elvesportsanlegg;6854185;206027;33
NWR raftinganlegg;6859615;199390;33
Heidal rafting;6859664;199646;33
Flåteferie raftingselskap;6859681;199386;33
Flåte-opplevelser;6859681;199386;33
Spidsbergseter kanoutleie;6847364;240939;33
Venabu kanoutleie;6844942;241031;33
Randsfjorden Seilforening Båthus;6678991;576082;33
Bryggjenøbbe vannsportanlegg;6780908;179242;33
Båtplass/flytebrygge;6787197;175755;33
Båtplass/flytebrygge;6787452;175726;33
Furustrand bryggeanlegg;0;0;32
VBUS vannsportanlegg;6777498;478054;32
Solumstrand seilbåthavn;6628746;233997;33
Roklubbhuset;6632893;229954;33
Roklubbhuset, båthus;6632750;230216;33
Drammen Park Båthus;0;0;0
Roklubbhuset, flytebrygge;6632750;230216;33
Nybrufossen Kongsbergbølga;6626494;198833;33
Sunvollen friområde, båthus;6667906;239258;33
Sundvolen friområde, brygge;6667906;239258;33
Fagerli leirskole kano/bryggeanlegg;6724254;130600;32
Svangstrand kajakknaust;6649288;237110;33
Røyken seilforenings seilsportanlegg;6633352;247435;33
Nærsnes båtbrygge for Røyken seilforening;6633340;247437;33
Hurum seilsenter, flytebrygge;6624342;248490;33
Rødtangen jollebrygge;6608069;240755;33
Numedal folkehøgskole kanobrygge;0;0;0
Horten Roklubb Båthus;6595911;244000;33
Horten Roklubb Båthus;6595911;244000;33
Rørestrand seileranlegg;6593091;243502;33
Rørestrand seileranlegg, jolleslipp;6593091;243502;33
Åsgårdstrand seileranlegg;6588001;242448;33
Åsgårdstrand Seileranlegg Kran;6588001;242448;33
Åsgårdstrand Seileranlegg, faste brygger ;6588001;242448;33
Åsgårdstrand seileranlegg, flytebrygger;6588001;242448;33
Rørestrand Flytebrygge;6592994;243521;33
Holmestrand Roklubb Båthus;6603805;235065;33
Tønsberg roklubb Båthus;6577817;239077;33
Tønsberg roklubb - idrettshus/båthus;6577817;239077;33
Tønsberg kajak klubb Flytebrygge;6579440;237941;33
Granholmen Båthus;6559665;226291;33
Granholmen Flytebrygge;6559665;226291;33
Granholmen brygge/oppstillingsanlegg;6559815;226355;33
Knattholmen Båthavn;6563500;232452;33
Ormestadvika båthus;6553014;572220;32
Korvikvannet;6576511;213226;33
Korvikvannet vannsportanlegg - brygge og stupetårn;6576521;213215;33
Ødegården - Flytebrygger;6553042;218582;33
Brunlaskogen - Larvik Vannsportsenter - Sjø;6541938;556921;32
Brunlaskogen - Larvik Vannsportsenter - Brygge;6541935;556921;32
Soffan Farrisvannet;6557622;214379;33
Svelvik kajakklubb Lagerrom;6618804;241093;33
Bokerøya seilanlegg;6614961;240995;33
Fjærholmen seilsenter - seilanlegg;6573544;241218;33
Knarberg båthavn båthus;6572085;240523;33
Fjærholmen - Bryggeanlegg;6573466;241183;33
Østre Bolæren - brygge og baderampe for funksjonshemmede;6563448;589623;32
Seivall småbåthavn;6560273;197283;33
Seivall Båthus;6560146;197278;33
Seivall jollerampe;6560209;197221;33
Seivall småbåthavn, brygge 2;6560285;197180;33
Porsgrunn roklubb roanlegg;6566493;193281;33
Porsgrunn roklubb båthus;6566471;193357;33
Porsgrunn Roklubb roanlegg brygger;6566500;193330;33
Jarseng idrettsanlegg - flytebrygge;6571112;198583;33
Hanesbukta;6574015;185507;33
Bakkestranda - flytebrygge;6574932;191913;33
Kragerø sjøbad;6525062;523916;32
Saltneven regattaanlegg;6524317;525090;32
Norsjø Kabelpark;6583125;514972;32
Kviteseid brygge flytebrygge for funksjo;6602859;130654;33
Finnøya seilsenter - bryggeanlegg;6524769;166066;33
Krana (mudderbua);6524144;166286;33
Sagjordet sjøsportanlegg med handikappbrygge;6524177;166259;33
Groos seilsenter;6483102;124524;33
Groos Seilsenter - Bryggeanlegg;6483140;124576;33
Groos seilsenter - jollebu;6483108;124520;33
Arendal ro- og kajakksenter Ormevika - roanlegg;6495962;135650;33
Arendal ro- og kajakksenter Ormvika - båthus;6495962;135650;33
Ormvika;6495961;135650;33
Arendal ro- og  kajakksenter - bryggeanlegg;6495962;135650;33
Arendal ro- og kajakksenter Ormevika - båthall;6479025;485485;33
Arendal ro- og kajakksenter Ormevika - rehab bygg;6479035;485500;33
Arendal seilforening;6493750;137951;33
Arendal seilforening;6493750;137951;33
Arendal seilforening;6493750;137951;33
Arendal Seilforening - Seilerhytta - brygge;6477023;487918;33
Arendal båtsportanlegg;6496937;137260;33
Roanlegg Longumvann;6501090;130828;33
Furrebanen wakeboardanlegg ;6478392;477155;33
Askerøy;6512958;157354;33
Tvedestrandfjorden;6513527;148558;33
Songe båtsportanlegg;6519517;151565;33
Songeelva padleanlegg;6502992;129336;33
Kokkenes båthus;6456486;463741;32
Lillesand båtsportsenter;6456486;463741;32
Gjermones padleanlegg;6532700;122586;33
Valle motell;6587254;73957;33
Honnevje badeplass;6589616;74494;33
Kristiansand roklubb flytebrygge;6444840;441160;32
Kristiansand roklubbs båthus;6444815;441175;32
Gill kajakkanlegg;6470288;90665;33
Gill kajakkanleggs flytebrygger;6449543;443025;32
Hamresanden brettseilingsanlegg;6471041;93749;33
Nodevika småbåthavn;6444825;441058;32
Otterdalen småbåthavn;6445024;441209;32
Gjestehavna flytebrygge;6445011;441279;32
Christianholms småbåthavn(lang;6445322;441362;32
Kuholmen småbåthavn;6445410;442813;32
Kuholmen småbåthavn;6445408;442811;32
Kuholmen småbåthavn;6445408;442814;32
Narvika småbåthavn;6447651;443632;32
Justvik småbåthavn;6450952;443363;32
Kolmila småbåthavn flytebrygge;6450870;446090;32
Korsvik småbåthavn;6444936;445357;32
Store Fuglevika flytebrygger;6445327;444131;32
Piningen badeplass;6448828;445908;32
Tretjønn flytebrygge;6448433;442935;32
Bertesbukta flytebrygge;6445357;443012;32
Indre Eikevann flytebrygge;6445354;437913;32
Nordtjønn flytebrygge;6443359;437346;32
Topdalstø seilanlegg;6447789;443844;32
Topdalstø flytebrygge;6447815;443895;32
Bredalsholmen seilsenter;6441332;440486;32
BredalsholmenFlytebrygge og regattabrygg;6441332;440486;32
Nodeviga kajakkanlegg;6444814;441167;32
Vollevannet flytebrygge;6448097;443375;32
Bryggeanlegg Bragdøya kystkultursenter;6442595;440121;32
Sodefjed hytteområde flytebrygge I;6441113;450028;32
Sodefjed hytteområde flytebrygge II;6441114;450013;32
Torsvik ferjeleie flytebrygge;6467311;444439;32
Elvebredden båthus;6467214;88478;33
Elvebredden bryggeanlegg;6446264;441156;32
Kjeltringholmen Bryggeanlegg;6465427;90780;33
Endresens løkke;6456599;55685;33
Kvisla båthus;6456005;55169;33
Hisåsen båthus;6457218;52665;33
Ulvegjelet båthus;6457823;54195;33
Hisåsen;6457208;52563;33
Vestnes båthus;6457054;53414;33
Vestnes båthus 2;6456959;53254;33
Vestnes båthus 3;6457143;53534;33
Bauskje brettseilingssenter;6469593;6150;33
Prestvannet kajakkanlegg;6470009;11364;33
Naudodden båthus;6467755;17637;33
Naudodden flytebrygge;6440557;370742;32
Egenes vannskianlegg;6462607;366132;32
Åros kajakkanlegg;6460042;76964;33
Søgne Jollesenterets flytebrygge;6459722;76328;33
Agderstrand flytebrygge;6460298;75076;33
Agnefest  småbåthavn flytebrygger;6469815;32120;33
Eie båtforening;6514592;-24299;33
Egersund motorbåtforening;6514592;-24299;33
Egersund sjøsportforening;6514592;-24299;33
Kattavige båtforening;6515570;-25180;33
Riska Båtutsettingsplass;6536635;318711;32
Sølyst seileanlegg;6574283;-31146;33
Øyane båtforening;6575648;-29516;33
Gjestehavn sølyst;6574314;-31134;33
Gjestehavn hillevågsvatnet;6571924;-31169;33
Skagen flytebrygge;6573966;-31927;33
Store Stokkavatnet Roanlegg;6574249;-34904;33
Madlamoen;6463877;-27949;33
Stokkavannet rostadion - båthall;6573902;-36238;33
Langøy havn;6577419;-29304;33
Eivindsvatnet fiskebrygge;6626985;-49031;33
Flytebrygge Eivindsvatnet;6626985;-49031;33
Haugesund kajakkklubb - båtlager;6627025;-51438;33
Lundestranda vannsportsenter;6509508;7951;33
Lund vannsportsenter;6481001;357192;32
Lund vannsportsenter HC-anlegg;6481001;357192;32
Audamotlandstjørna kanopark;6540086;-42909;33
Kursanlegg Frøylandsvatnet vannsportanlegg;7734676;653291;32
Flørli , flytebrygger/roanlegg;6573280;8800;33
Nevøynå gård vannsportanlegg;6590664;339456;32
Treaskjæret båtanlegg;6643707;12595;33
Tysvær kajakkanlegg - baner;6614799;-40853;33
Tysvær kajakkanlegg - båthus;6614799;-40853;33
Tysvær kajakkanlegg - flytebrygge;6614799;-40853;33
Tysvær kajakkanlegg - flytebrygge;6614799;-40853;33
Lindøy seilstasjon;6616075;-46689;33
Karmøy seilforening seilsportanlegg;6613015;-50632;33
Litlavatn kanoanlegg;6579139;288590;32
Fosen seilanlegg - flytebrygger;6582249;293667;32
Lie badeplass;6631053;-34854;33
Vikedal seglsenter;6599365;324415;32
Ølen promenade flytebrygge;6611960;320130;32
Fana roklubb båtlager;6728656;-32484;33
Bergens seilf.-kviturspollen;6686497;292626;32
Bergens seilf.-kviturspollen;6686483;292634;32
Bergens seilf.-kviturspollen;6720497;-38128;33
Bergens seilf.-kviturspollen;6686564;292597;32
Bergen roklubb båthall og garderober;6725509;-33486;33
Hjellestad seilforening;6719984;-38824;33
Milde båtlag;6718963;-37410;33
Alvøen roklubb båthus;6696824;289533;32
Elsesnes;6706354;295453;32
 Fana Kajakklubb Fanahammeren;6686681;297091;32
Langeholmen klubbhus;6728611;-32430;33
Gravdal båthus;6699786;294174;32
Laksevåg kajakk-klubb;6733660;-35533;33
